Picture,fx,fy,Lv,CCT
R,1.000,0.000,0.00,   -1
G,0.035,0.001,0.00,   -1
B,0.368,0.411,0.00, 4536
C,1.000,0.000,0.00,   -1
M,0.487,0.000,0.00,   -1
Y,0.000,0.345,0.00,   -1
1,0.270,0.000,0.00,   -1
2,1.000,0.000,0.00,   -1
3,0.612,0.386,0.00,   -1
4,0.149,0.253,0.00,   -1
5,0.456,0.000,0.00,   -1
6,0.000,0.003,0.00,   -1
7,0.000,0.975,0.00,   -1
8,0.789,0.211,0.00,   -1
9,0.000,0.976,0.00,   -1
A,0.519,0.476,0.00, 2497
B,0.823,0.000,0.00,   -1
C,0.415,0.000,0.00,   -1
D,0.000,0.120,0.00,   -1
E,0.000,0.976,0.00,   -1
F,0.000,0.000,0.00,   -1
G,1.000,0.000,0.00,   -1
H,1.000,0.000,0.00,   -1
I,1.000,0.000,0.00,   -1
W,0.521,0.288,0.00,   -1
K,0.000,0.975,0.00,   -1
L,0.000,0.003,0.00,   -1
M,0.000,0.470,0.00,   -1
N,0.000,0.976,0.00,   -1
O,0.317,0.341,38.84, 6225
