Picture,fx,fy,Lv,CCT
R,0.625,0.357,7.64,   -1
G,0.312,0.629,20.20,   -1
B,0.148,0.071,2.91,   -1
C,0.219,0.317,23.05,15789
M,0.311,0.167,10.34,   -1
Y,0.438,0.524,27.74, 3737
X-rite_1,0.525,0.366,1.19,   -1
X-rite_2,0.452,0.384,13.37, 2589
X-rite_3,0.234,0.230,5.92,   -1
X-rite_4,0.385,0.483,3.67, 4453
X-rite_5,0.278,0.238,9.17,   -1
X-rite_6,0.304,0.452,22.98, 6368
X-rite_7,0.557,0.412,11.11,   -1
X-rite_8,0.172,0.134,1.24,   -1
X-rite_9,0.594,0.348,5.76,   -1
X-rite_10,0.320,0.206,0.80,   -1
X-rite_11,0.389,0.563,23.79, 4625
X-rite_12,0.535,0.438,12.99,   -1
X-rite_13,0.155,0.084,0.97,   -1
X-rite_14,0.325,0.583,9.02, 5742
X-rite_15,0.617,0.357,4.61,   -1
X-rite_16,0.466,0.499,21.47, 3235
X-rite_17,0.441,0.249,5.38,   -1
X-rite_18,0.200,0.247,7.51,   -1
X-rite_19,0.311,0.325,30.41, 6638
X-rite_20,0.310,0.325,28.80, 6687
X-rite_21,0.311,0.326,14.24, 6660
X-rite_22,0.311,0.324,5.59, 6652
X-rite_23,0.306,0.323,1.12, 6965
X-rite_24,0.292,0.329,0.25, 7760
